c2_ip	first_seen	last_seen	protocol	port
194.99.22.177	2020/09/04	2021/07/19	TLS	443
185.161.211.97	2020/07/22	2021/06/14	HTTP	80
172.105.51.169	2022/03/16	2022/03/16	HTTPS	443
185.236.78.28	2019/12/15	2019/12/15	TLS	443
91.235.129.63	2021/10/07	2021/10/07	HTTPS	443
88.119.170.142	2021/12/24	2022/09/19	TLS	443
185.161.209.234	2019/12/23	2019/12/23	UDP	53
91.235.128.67	2021/10/02	2021/10/26	HTTP	80
80.82.67.165	2020/04/10	2020/04/10	TCP	443
91.235.128.67	2021/10/09	2021/10/09	HTTPS	443
91.235.128.90	2019/12/15	2019/12/15	TLS	443
185.161.210.162	2020/07/21	2021/11/27	HTTP	80
185.161.211.97	2019/12/10	2021/10/28	TCP	443
185.236.78.15	2020/02/17	2022/02/10	TLS	443
86.107.197.182	2021/05/31	2021/09/05	HTTPS	443
179.43.151.200	2020/10/08	2020/10/08	TLS	443
185.161.208.28	2019/12/15	2022/02/10	TLS	443
80.240.19.29	2022/06/21	2022/06/21	TLS	443
185.161.208.135	2021/10/28	2022/09/19	TLS	443
103.129.97.182	2020/08/11	2020/10/04	HTTPS	443
185.161.208.28	2019/12/15	2021/10/28	UDP	53
88.119.171.197	2022/02/10	2022/09/06	TCP	443
139.28.36.81	2020/08/12	2021/10/08	HTTPS	443
192.46.209.208	2021/12/30	2021/12/30	HTTP	80
37.120.247.137	2021/05/06	2021/10/28	TLS	443
176.10.125.69	2020/11/18	2020/11/18	HTTPS	443
139.28.37.224	2020/09/13	2020/12/07	HTTPS	443
89.38.131.141	2022/07/27	2022/07/27	TCP	443
185.161.211.44	2020/04/14	2020/04/14	TLS	443
185.161.209.87	2021/01/16	2021/11/26	HTTP	80
185.161.208.118	2020/08/11	2021/01/23	HTTPS	443
91.235.128.197	2021/11/15	2021/11/15	HTTPS	443
80.82.67.6	2019/12/10	2020/02/20	TCP	443
91.235.128.197	2021/10/03	2021/10/25	HTTP	80
185.236.78.3	2021/03/05	2021/09/16	TLS	443
195.54.163.30	2021/08/26	2022/04/20	TLS	443
185.161.208.202	2021/03/05	2021/09/16	TLS	443
5.252.176.40	2021/06/24	2022/05/11	TLS	443
185.161.211.188	2019/12/23	2019/12/23	UDP	53
91.235.129.63	2021/09/30	2021/09/30	HTTP	80
185.161.210.162	2020/07/27	2021/10/28	TCP	443
185.161.209.87	2021/01/19	2021/12/16	HTTPS	443
88.119.170.217	2020/12/18	2021/08/26	TLS	443
88.119.171.197	2021/12/29	2022/09/08	HTTP	80
5.252.176.40	2021/10/02	2022/05/21	HTTP	80
194.61.233.56	2021/09/16	2022/09/19	TLS	443
91.235.128.120	2021/10/02	2021/10/25	HTTP	80
91.235.128.120	2021/10/07	2021/10/07	HTTPS	443
139.28.37.102	2019/12/15	2020/09/04	TLS	443
192.46.209.208	2021/10/07	2022/05/14	HTTPS	443
88.119.170.217	2020/12/26	2021/08/28	HTTP	80
