c2_ip	first_seen	last_seen	protocol	port
35.246.189.81	2021/04/15	2021/08/30	TLS	443
35.198.179.79	2021/06/10	2021/08/31	TLS	443
111.90.148.22	2020/08/19	2020/09/16	TLS	443
172.93.187.203	2020/08/19	2020/11/23	TLS	443
104.232.71.11	2020/12/07	2021/11/10	TLS	443
158.69.189.97	2020/09/16	2020/11/26	TLS	443
172.93.165.61	2020/08/27	2021/01/19	TLS	443
63.141.234.106	2020/08/27	2020/10/19	TLS	443
107.172.198.145	2020/08/27	2020/10/05	TLS	443
3.66.62.108	2021/05/11	2021/05/11	TLS	443
173.209.43.7	2020/08/19	2021/01/20	TLS	443
204.12.225.22	2020/11/11	2020/11/11	TLS	443
172.93.165.12	2021/02/22	2021/07/08	TLS	443
64.188.9.170	2022/06/10	2022/07/12	TLS	443
167.114.44.159	2020/11/12	2020/12/24	TLS	443
96.9.210.193	2020/08/19	2020/09/16	TLS	443
116.202.251.26	2022/03/14	2022/04/10	TLS	443
185.227.82.40	2022/07/13	2022/11/03	TLS	443
172.87.222.6	2020/08/19	2020/09/16	TLS	443
180.235.132.11	2020/08/19	2020/10/19	TLS	443
104.232.98.17	2020/08/26	2021/01/19	TLS	443
3.239.189.175	2021/02/19	2021/03/04	TLS	443
172.93.165.195	2020/08/19	2021/01/17	TLS	443
172.241.27.117	2020/09/18	2021/02/20	TLS	443
63.141.224.90	2021/02/22	2021/02/22	TLS	443
193.34.167.183	2021/02/19	2021/03/06	TLS	443
3.123.86.215	2021/06/10	2021/08/29	TLS	443
180.235.132.71	2020/08/19	2020/10/19	TLS	443
101.99.91.234	2020/11/11	2021/05/06	TLS	443
23.106.215.128	2020/11/12	2020/11/12	TLS	443
209.127.28.41	2020/12/24	2021/06/24	TLS	443
64.188.26.168	2020/08/19	2020/10/13	TLS	443
185.236.202.234	2020/12/23	2021/11/11	TLS	443
172.93.165.19	2020/10/16	2021/03/03	TLS	443
104.217.163.61	2020/08/27	2020/08/27	TLS	443
64.188.9.161	2020/09/14	2021/02/23	TLS	443
185.156.173.90	2020/08/19	2021/02/09	TLS	443
172.93.165.30	2021/08/03	2021/11/09	TLS	443
142.202.205.125	2020/09/15	2020/10/20	TLS	443
104.243.143.78	2021/02/10	2021/03/02	TLS	443
142.44.199.42	2020/09/18	2020/09/18	TLS	443
144.217.41.76	2020/08/28	2020/08/28	TLS	443
173.254.204.68	2020/08/27	2020/11/12	TLS	443
192.227.231.145	2020/11/10	2020/12/26	TLS	443
216.189.145.108	2020/09/14	2020/09/14	TLS	443
192.111.149.132	2020/08/19	2020/11/09	TLS	443
23.94.139.92	2020/09/16	2021/02/21	TLS	443
198.46.188.187	2020/11/13	2021/03/30	TLS	443
108.170.13.91	2020/08/19	2020/08/19	TLS	443
91.132.139.212	2020/08/19	2021/02/09	TLS	443
89.44.9.203	2022/06/11	2022/11/03	TLS	443
172.93.165.23	2020/10/05	2021/02/19	TLS	443
104.232.71.5	2020/08/26	2020/09/17	TLS	443
103.15.28.243	2020/09/16	2020/12/25	TLS	443
193.34.166.128	2020/11/09	2021/03/03	TLS	443
104.223.79.148	2020/08/19	2020/08/19	TLS	443
69.30.240.60	2020/08/19	2020/10/15	TLS	443
104.232.98.4	2020/08/19	2020/09/16	TLS	443
172.93.189.176	2020/08/19	2020/10/19	TLS	443
193.34.167.10	2020/08/26	2021/01/19	TLS	443
37.72.168.228	2020/08/19	2020/08/24	TLS	443
79.143.87.11	2022/07/13	2022/11/04	TLS	443
101.99.91.215	2020/09/16	2020/09/16	TLS	443
103.214.147.209	2020/11/25	2021/03/02	TLS	443
216.189.145.172	2022/07/12	2022/07/12	TLS	443
178.33.94.34	2022/07/13	2022/11/03	TLS	443
23.106.215.151	2020/09/15	2020/11/25	TLS	443
89.41.26.191	2020/08/28	2020/10/20	TLS	443
89.45.4.167	2020/08/28	2020/09/17	TLS	443
101.99.91.178	2020/08/28	2020/11/12	TLS	443
38.132.124.169	2020/11/13	2020/11/13	TLS	443
52.54.160.219	2022/06/11	2022/11/03	TLS	443
