c2_ip	first_seen	last_seen	protocol	port	version	watermark	pubkey_md5	domains	host_header
20.52.237.224	2021/01/15 09:38:42	2021/01/15 09:38:42	HTTPS	443	4.1 and later	1111928766	cbbf63b4073d85ec2a876f13ac57be1f	ajax.microsoft.com,/RELEASES	jobdict.com,euroloanfi.azureedge.net
157.230.239.44	2021/01/13 11:19:14	2021/01/13 11:19:14	HTTPS	443	4.1 and later	1417198314	19fe3fa09a9499a730579524c55ec146	ajax.microsoft.com,/skin	157.230.239.44,EAST1cdn.azureedge.net
134.209.229.220	2020/04/28 19:18:58	2020/05/05 03:59:01	HTTPS	443	4.0	636212833	cb3c16426195a7bd8d992eab76eaf0bf	ecnads1.msn.com,/v1/buckets/default/ext-5dkJ19tFufpMZjVJbsWCiqDcclDw/records	123energy.azureedge.net
184.73.144.10	2020/06/01 12:03:31	2020/06/11 15:18:29	HTTPS	443	4.0	817161738	d4946dfb0a285fabbd2dad5a905f3f53	download.my.visualstudio.com,/live	csc.azureedge.net
35.175.234.134	2020/08/03 20:45:56	2020/08/03 20:45:56	HTTPS	443	4.0	1942829311	d4946dfb0a285fabbd2dad5a905f3f53	download.visualstudio.microsoft.com,/live	devmsft.azureedge.net
3.250.193.216	2020/12/05 20:55:31	2021/01/12 18:15:26	HTTPS	443	4.1 and later	623771681	17dba5f6051e3c5e1052c75c9492546d	ehrclient-canary.teams.microsoft.com,/s/ref=nb_sb_noss_1/698-71218292-1534620/field-keywords=point	www.amazon.com,pepesec2.azureedge.net
206.189.76.255	2020/11/07 00:50:33	2020/11/07 00:50:33	HTTPS	443	4.0	100392800	35167834dc4fa5ef3ff33a29d508e5e1	ajax.microsoft.com,/gp/aj/private/reviewsGallery/get-application-resources	visualstudios.azureedge.net
128.199.65.95	2020/08/11 11:38:26	2020/09/25 07:40:55	HTTPS	443	4.0	1196957396	b753343b1c0573af7ae940e7a3bea891	dist.asp.net,/v3/links/ping-centre,cdn.cloudappsecurity.com,/v3/links/ping-centre,cdnads.msads.net,/wp-includes/js/script/indigo-migrate	fnz-update.azureedge.com,msedge-origin.azureedge.net
34.229.148.82	2020/08/01 10:12:46	2020/08/01 10:12:46	HTTPS	443	4.0	1117045577	f7da389f30fc0e60692194a8198ec652	software-download.microsoft.com,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books	www.amazon.com,guhvshn.azureedge.net
159.89.131.158	2020/04/04 03:21:54	2020/04/30 19:45:56	HTTPS	443	4.0	425820776	128ae95ae70ec623051be01c0a4ee70c	ajax.microsoft.com,/v1/buckets/default/ext-5dkJ19tFufpMZjVJbsWCiqDcclDw/records	sysinternals.azureedge.net
64.227.1.183	2020/04/03 11:04:14	2020/05/03 22:54:19	HTTPS	443	4.0	2069347887	86c8e5b37d01c85c4a0f153a27fcb793	ajax.microsoft.com,/api2/json/cluster/tasks	thcdn.azureedge.net
68.183.55.31	2020/08/03 05:25:41	2020/08/03 05:25:41	HTTPS	443	4.0	1686682263	e1eb14d4558c5788ba115f8583783fa0	ajax.microsoft.com,/update/	cdnfiles.azureedge.net
3.15.239.11	2020/05/31 18:23:37	2020/06/14 07:04:28	HTTPS	443	4.0	1173312215	fcb7394c4f00121acfad4e7948dcb371	software-download.microsoft.com,/models.css	creditosaempresas.azureedge.net
