c2_ip	first_seen	last_seen	protocol	port	version	watermark	pubkey_md5	domains	host_header
31.14.40.134	2020/09/04 23:32:24	2020/09/04 23:32:24	HTTPS	443	4.0	305419896 (leaked)	8ac540617dddcdf575f6dc207abb7344	31.14.40.134,/jquery-3.3.1.min.js	None
142.54.188.26	2020/10/30 05:41:04	2020/12/19 01:42:55	HTTPS	443	4.0	0 (trial)	8ac540617dddcdf575f6dc207abb7344	agturnfa.com,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books	www.amazon.com
162.244.80.177	2020/08/11 15:51:15	2020/08/11 15:51:15	HTTPS	8443	4.0	305419896 (leaked)	8ac540617dddcdf575f6dc207abb7344	162.244.80.177,/jquery-3.3.1.min.js	None
217.12.201.30	2020/11/12 10:48:53	2020/11/25 00:50:06	HTTP	80	4.0	305419896 (leaked)	8ac540617dddcdf575f6dc207abb7344	217.12.201.30,/jquery-3.3.1.min.js	None
45.82.153.182	2020/11/23 19:02:12	2020/12/17 04:08:27	HTTP	80	4.0	305419896 (leaked)	8ac540617dddcdf575f6dc207abb7344	45.82.153.182,/en_US/all.js	None
185.141.63.38	2020/09/05 13:04:10	2020/09/05 13:04:10	HTTPS	443	4.0	305419896 (leaked)	8ac540617dddcdf575f6dc207abb7344	185.141.63.38,/jquery-3.3.1.min.js	None
45.11.180.108	2020/07/29 17:50:15	2020/07/29 17:50:15	HTTP	80	4.0	305419896 (leaked)	8ac540617dddcdf575f6dc207abb7344	45.11.180.108,/ga.js	None
37.10.71.152	2020/08/31 11:59:34	2020/08/31 11:59:34	HTTP	80	4.0	305419896 (leaked)	8ac540617dddcdf575f6dc207abb7344	37.10.71.152,/en_US/all.js	None
217.12.218.250	2020/12/11 21:10:55	2020/12/11 21:10:55	DNS	53	4.0	305419896 (leaked)	8ac540617dddcdf575f6dc207abb7344	dns.zbfgns.xyz,/questions/32251816/c-sharp-directives-compilation-error	None
94.232.40.63	2020/12/31 01:17:33	2020/12/31 01:17:33	HTTP	80	4.0	305419896 (leaked)	8ac540617dddcdf575f6dc207abb7344	45.82.153.182,/en_US/all.js	None
89.38.98.132	2020/04/22 13:45:11	2020/06/04 14:15:33	HTTPS	443	4.0	305419896 (leaked)	8ac540617dddcdf575f6dc207abb7344	89.38.98.132,/ca	None
138.99.216.18	2020/06/05 15:32:03	2020/06/05 15:32:03	HTTPS	443	4.0	305419896 (leaked)	8ac540617dddcdf575f6dc207abb7344	138.99.216.18,/c/msdownload/update/others/2016/12/29136388_	download.windowsupdate.com
217.12.208.162	2020/09/25 20:34:14	2020/09/25 20:34:14	HTTPS	443	4.0	305419896 (leaked)	8ac540617dddcdf575f6dc207abb7344	217.12.208.162,/jquery-3.3.1.min.js	None
185.206.21.82	2020/09/02 12:55:02	2020/09/02 12:55:02	HTTPS	443	4.0	305419896 (leaked)	8ac540617dddcdf575f6dc207abb7344	leafrace.com,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,bestarg.com,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books	www.amazon.com
213.32.83.96	2020/09/03 17:26:15	2020/09/03 17:26:15	HTTPS	443	4.0	305419896 (leaked)	8ac540617dddcdf575f6dc207abb7344	213.32.83.96,/IE9CompatViewList.xml	None
63.142.243.214	2020/08/03 05:09:17	2021/01/01 16:24:16	HTTPS	443	4.0	305419896 (leaked)	8ac540617dddcdf575f6dc207abb7344	63.142.243.214,/j.ad	None
195.123.217.7	2020/12/11 16:17:07	2021/01/08 20:02:26	DNS	53	4.0	305419896 (leaked)	8ac540617dddcdf575f6dc207abb7344	dns.yten.xyz,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books	www.amazon.com
