c2_ip	first_seen	last_seen	protocol	port	version	watermark	pubkey_md5	domains	host_header
18.182.158.197	2020/12/15 13:17:41	2020/12/31 02:48:25	HTTP	80	4.0	305419896 (leaked)	defb5d95ce99e1ebbf421a1a38d9cb64	18.182.158.197,/activity	None
43.242.201.222	2020/09/13 13:32:13	2020/12/12 06:49:52	HTTPS	8443	4.0	305419896 (leaked)	defb5d95ce99e1ebbf421a1a38d9cb64	43.242.201.222,/activity	None
193.34.167.60	2020/12/18 08:13:07	2021/01/02 05:33:07	HTTPS	443	4.1 and later	1580103814	defb5d95ce99e1ebbf421a1a38d9cb64	server3.msadwindows.com,/updates.rss	None
164.155.72.51	2020/08/11 09:31:38	2020/08/11 09:31:38	HTTPS	8443	4.0	0 (trial)	defb5d95ce99e1ebbf421a1a38d9cb64	164.155.72.51,/fo.css	qq.com
185.125.206.173	2021/01/08 18:00:26	2021/01/08 18:00:26	DNS	53	4.1 and later	1580103814	defb5d95ce99e1ebbf421a1a38d9cb64	nid.din.travmeetlett.com,/__utm.gif	None
82.118.22.134	2020/12/30 04:48:43	2020/12/30 04:48:43	HTTPS	443	4.1 and later	1580103814	defb5d95ce99e1ebbf421a1a38d9cb64	82.118.22.134,/ca	None
45.11.19.217	2020/12/17 04:15:51	2020/12/31 14:57:53	HTTPS	443	4.1 and later	1580103814	defb5d95ce99e1ebbf421a1a38d9cb64	mapizzamates.com,/j.ad	None
154.8.228.249	2020/09/20 20:31:42	2020/09/20 20:31:42	DNS	53	4.0	305419896 (leaked)	defb5d95ce99e1ebbf421a1a38d9cb64	cs.huomxd.com,/visit.js,cc.huomxd.com,/match,ns1.huomxd.com,/__utm.gif	None
103.74.192.59	2020/12/06 18:23:31	2021/01/10 04:29:00	HTTP	8080	4.0	305419896 (leaked)	defb5d95ce99e1ebbf421a1a38d9cb64	103.74.192.59,/g.pixel	None
149.28.147.25	2020/07/28 17:52:37	2020/07/28 17:52:37	HTTP	80	4.0	305419896 (leaked)	defb5d95ce99e1ebbf421a1a38d9cb64	149.28.147.25,/push	None
103.147.13.153	2020/08/06 03:13:01	2020/08/06 03:13:01	HTTP	8080	4.0	305419896 (leaked)	defb5d95ce99e1ebbf421a1a38d9cb64	103.147.13.153,/updates.rss	None
159.203.16.149	2020/10/24 21:01:12	2020/11/22 23:03:55	HTTP	80	4.0	0 (trial)	defb5d95ce99e1ebbf421a1a38d9cb64	update.localhost-microsoft.net,/owa/,office365Enterprise.azureedge.net,/owa/	None
193.34.167.18	2021/01/08 20:58:22	2021/01/08 20:58:22	DNS	53	4.1 and later	1580103814	defb5d95ce99e1ebbf421a1a38d9cb64	dns.intlupdate.com,/pixel.gif	None
47.244.13.36	2020/12/04 23:46:38	2020/12/04 23:46:38	HTTP	80	4.0	305419896 (leaked)	defb5d95ce99e1ebbf421a1a38d9cb64	47.244.13.36,/en_US/all.js	None
68.183.238.81	2020/05/30 18:01:44	2020/08/03 09:57:04	HTTPS	443	4.0	305419896 (leaked)	defb5d95ce99e1ebbf421a1a38d9cb64	68.183.238.81,/j.ad,68.183.238.81:443,/pixel	None
167.179.98.232	2020/12/03 04:04:24	2020/12/30 17:56:18	HTTP	80	4.0	305419896 (leaked)	defb5d95ce99e1ebbf421a1a38d9cb64	studentedu.hk.appledaily.live,/updates.rss	None
193.34.166.153	2020/12/31 01:31:46	2020/12/31 01:31:46	HTTPS	443	4.1 and later	1580103814	defb5d95ce99e1ebbf421a1a38d9cb64	193.34.166.153,/g.pixel	None
45.138.157.179	2020/09/30 04:24:22	2020/09/30 04:24:22	HTTPS	8080	4.0	305419896 (leaked)	defb5d95ce99e1ebbf421a1a38d9cb64	www.antiavkaspersky.com,/ms	google.com,www.antiavkaspersky.com
52.119.1.74	2020/04/04 17:06:40	2020/11/07 18:37:52	HTTPS	443	4.0	305419896 (leaked)	defb5d95ce99e1ebbf421a1a38d9cb64	dcoco.space,/jquery-3.3.1.min.js,www.dcoco.space,/jquery-3.3.1.min.js,172.107.177.214,/jquery-3.3.1.min.js	dcoco.space
66.42.74.232	2020/12/24 14:38:09	2021/01/11 16:21:06	HTTP	8888	4.0	305419896 (leaked)	defb5d95ce99e1ebbf421a1a38d9cb64	66.42.74.232,/pixel	None
45.76.34.158	2020/05/02 00:03:42	2020/08/01 22:14:05	HTTPS	443	4.0	305419896 (leaked)	defb5d95ce99e1ebbf421a1a38d9cb64	45.76.34.158,/owa/	outlook.live.com
123.58.211.116	2020/11/20 08:24:46	2020/11/20 08:24:46	HTTP	443	4.0	305419896 (leaked)	defb5d95ce99e1ebbf421a1a38d9cb64	123.58.211.116,/pixel.gif	None
47.56.144.122	2020/09/26 13:06:11	2020/12/16 15:14:05	HTTPS	443	4.0	305419896 (leaked)	defb5d95ce99e1ebbf421a1a38d9cb64	47.56.144.122,/updates.rss	None
42.51.191.209	2020/12/10 02:10:10	2020/12/10 02:10:10	HTTP	443	4.0	0 (trial)	defb5d95ce99e1ebbf421a1a38d9cb64	42.51.191.209,/dpixel	None
65.49.195.206	2020/08/03 05:10:31	2020/08/03 05:10:31	HTTPS	443	4.0	305419896 (leaked)	defb5d95ce99e1ebbf421a1a38d9cb64	65.49.195.206,/match	None
103.51.140.139	2020/11/08 00:58:08	2020/11/08 00:58:08	HTTPS	443	4.0	305419896 (leaked)	defb5d95ce99e1ebbf421a1a38d9cb64	103.51.140.139,/cx	None
213.227.155.234	2021/01/02 05:37:23	2021/01/02 05:37:23	HTTPS	443	4.1 and later	1580103814	defb5d95ce99e1ebbf421a1a38d9cb64	meettravellet.com,/j.ad,213.227.155.234,/dot.gif	None
172.241.27.244	2020/12/16 00:33:02	2021/01/01 11:16:56	HTTP	80	4.1 and later	1580103814	defb5d95ce99e1ebbf421a1a38d9cb64	matesmapizza.com,/IE9CompatViewList.xml	None
204.44.83.217	2020/07/09 03:58:52	2020/09/20 04:26:49	DNS	53	4.0	305419896 (leaked)	defb5d95ce99e1ebbf421a1a38d9cb64	cs1.ji4n.tk,/cx,cs2.ji4n.tk,/cm,cs3.ji4n.tk,/cm,cs4.ji4n.tk,/en_US/all.js,cs5.ji4n.tk,/ga.js	None
185.106.96.74	2020/11/13 07:48:14	2020/12/30 12:22:31	HTTP	80	4.1 and later	0 (trial&cracked)	defb5d95ce99e1ebbf421a1a38d9cb64	cdn.baiduanalyst.xyz,/visit.js	None
45.195.158.36	2020/11/19 10:48:53	2020/12/30 09:47:47	HTTPS	443	4.0	305419896 (leaked)	defb5d95ce99e1ebbf421a1a38d9cb64	45.195.158.36,/updates	None
18.163.129.219	2020/07/28 20:11:32	2020/07/28 20:11:32	HTTP	80	4.0	305419896 (leaked)	defb5d95ce99e1ebbf421a1a38d9cb64	diz0zog9i207j.cloudfront.net,/user/manager	diz0zog9i207j.cloudfront.net
45.32.128.54	2020/07/28 20:36:06	2020/07/28 20:36:06	HTTP	80	4.0	305419896 (leaked)	defb5d95ce99e1ebbf421a1a38d9cb64	45.32.128.54,/ga.js	None
217.194.132.41	2020/11/24 12:46:23	2020/12/01 07:32:22	HTTP	80	4.0	0 (trial)	defb5d95ce99e1ebbf421a1a38d9cb64	totieatie.com,/case.html,toolio.com,/case.html,airtribes.net,/eo.html,isetv.com,/mobile-ipad-home.html,sierrasoftworks.com,/mobile-ipad-home.html,developershome.com,/eo.html,jobstour.com,/mobile-ipad-home.html,innovationsprint.com,/eo.html	res1.azureedge.net
