c2_ip	first_seen	last_seen	protocol	port	version	watermark	pubkey_md5	domains	host_header
64.187.239.138	2020/10/29 00:39:44	2021/01/15 00:24:42	HTTPS	443	4.1 and later	0 (trial&cracked)	2fd68868e66ab1a2cdc42051577c4279	ballom.com,/us/ky/louisville/312-s-fourth-st.html,64.187.239.138,/us/ky/louisville/312-s-fourth-st.html	None
202.79.170.173	2020/12/03 23:29:38	2021/01/14 22:22:50	HTTP	80	4.1 and later	0 (trial&cracked)	ea7ceb79547b3e7c8fe481c7689cf728	202.79.170.173,/visit.js	None
149.28.91.151	2020/10/28 08:42:09	2021/01/13 02:08:52	HTTPS	443	4.0	0 (trial&cracked)	9eebc29d6e90ef0db7879f75fea4112c	c9s.eu,/pixel.gif	None
96.45.174.250	2020/12/16 09:49:15	2021/01/12 20:47:39	HTTP	80	4.1 and later	0 (trial&cracked)	980ef08c24caf4bdaee7d4218992835a	hkservices.info,/ga.js	None
18.162.225.179	2020/09/27 07:45:44	2021/01/01 05:53:48	HTTPS	443	4.1 and later	0 (trial&cracked)	2c7e499bdf995be7e3496a229a5b0815	cdn1.srv-spotlfy.com,/js/jquery-3.3.1.min.js	code.jquery.com
8.210.151.127	2020/12/30 04:45:46	2021/01/15 07:01:13	HTTP	80	4.1 and later	0 (trial&cracked)	defb5d95ce99e1ebbf421a1a38d9cb64	192.168.123.69,/ptj	None
146.0.72.91	2020/11/06 02:55:27	2021/01/01 11:05:58	HTTPS	443	4.1 and later	0 (trial&cracked)	0ce40a68c9842f8908847aa3732e8336	146.0.72.91,/fwlink,91.229.23.63,/ga.js	None
47.74.39.152	2020/10/26 19:42:38	2021/01/01 15:41:24	HTTP	80	4.1 and later	0 (trial&cracked)	80e6dd9d427ab8e8aa8f69e2c0e9c739	47.74.39.152,/fwlink	None
185.156.172.56	2020/10/28 04:46:34	2021/01/12 09:21:37	HTTPS	443	4.1 and later	0 (trial&cracked)	15f0ca66d8eb28cc0e7654d7c106099d	185.156.172.56,/match	None
149.248.3.94	2020/12/31 01:56:27	2021/01/14 01:37:48	HTTPS	443	4.1 and later	0 (trial&cracked)	991514f00e469c817cf2773328261045	3rh8rc.systemservices.network,/jquery-3.3.1.min.js,149.248.3.94,/jquery-3.3.1.min.js	None
167.179.72.91	2020/12/28 04:30:45	2020/12/28 04:30:45	HTTP	8080	4.1 and later	0 (trial&cracked)	640150dc6d04c5e4b4ed5868a04b7747	167.179.72.91,/ptj	None
14.1.98.29	2020/12/28 04:09:53	2020/12/28 04:09:53	HTTP	8080	4.1 and later	0 (trial&cracked)	a1069c82714fb00991b5b5713d22dcd1	14.1.98.29,/updates.rss	None
142.202.191.183	2021/01/01 00:25:20	2021/01/12 07:03:25	HTTP	80	4.1 and later	0 (trial&cracked)	150c20ffb40b0d1ba262e0cd44cac769	142.202.191.183,/_/scs/mail-static/__/js/	None
172.104.121.109	2020/11/27 06:05:59	2020/12/29 12:55:55	HTTPS	8443	4.1 and later	0 (trial&cracked)	b7bc2f77682198fe7fffc6743d2ac7e3	172.104.121.109,/ca	None
192.184.35.222	2020/12/04 05:11:08	2021/01/02 01:29:39	HTTPS	443	4.1 and later	0 (trial&cracked)	4179e0dc910e43ca1ee51edbefb82e27	exrap.com,/us/ky/louisville/312-s-fourth-st.html	None
185.25.50.143	2020/12/31 13:05:38	2021/01/15 13:15:20	HTTP	80	4.1 and later	0 (trial&cracked)	513a106c78f18c49d98bfabf2541b500	185.25.50.143,/RELEASE.css	None
23.227.193.70	2020/12/17 20:50:09	2020/12/31 23:35:26	HTTP	80	4.1 and later	0 (trial&cracked)	e9ae865f5ce035176457188409f6020a	23.227.193.70,/ca	None
80.209.241.21	2020/12/15 13:13:47	2021/01/14 00:00:49	HTTP	80	4.1 and later	0 (trial&cracked)	f61884abc8f4ba7a0caa288b326a70ee	80.209.241.21,/IE9CompatViewList.xml	None
185.158.250.134	2021/01/13 12:41:15	2021/01/13 12:41:15	HTTP	80	4.1 and later	0 (trial&cracked)	0c02e535b7642ddb3d9ce8eac07048f2	185.158.250.134,/j.ad	None
165.22.63.50	2020/09/27 01:33:58	2021/01/15 01:58:05	HTTPS	443	4.1 and later	0 (trial&cracked)	2c7e499bdf995be7e3496a229a5b0815	cdn1.srv-spotlfy.com,/js/jquery-3.3.1.min.js	code.jquery.com
62.171.141.54	2020/10/28 12:24:10	2021/01/13 20:20:33	HTTPS	443	4.1 and later	0 (trial&cracked)	2d06586401c91c8e461f55bb041bbcb1	62.171.141.54,/fam_newspaper	None
139.180.203.104	2020/09/26 06:37:27	2021/01/12 20:30:02	HTTPS	443	4.1 and later	0 (trial&cracked)	991514f00e469c817cf2773328261045	microsoft.systemservices.network,/match,139.180.203.104,/ptj	None
45.32.47.23	2020/11/07 03:12:19	2021/01/14 11:22:17	HTTPS	443	3.9 and later	0 (trial&cracked)	44e1e9c773038bc86c248c2d5f352f00	45.32.47.23,/push	None
104.237.4.40	2020/08/04 07:14:46	2020/12/30 18:43:18	HTTPS	443	4.1 and later	0 (trial&cracked)	1b1a09cd3684c770f04315683184c77c	104.237.4.40,/updates.rss	None
144.48.220.45	2020/11/14 09:48:54	2021/01/02 09:56:23	HTTP	80	4.1 and later	0 (trial&cracked)	537dba65861ca8aa13915f623cdcb219	144.48.220.43,/jquery-3.3.1.min.js	None
149.28.207.11	2020/11/14 13:32:54	2020/12/30 22:32:14	HTTP	80	4.1 and later	0 (trial&cracked)	77edd5d6d94379f97542aad2cee69489	149.28.207.11,/pixel.gif	None
94.177.12.123	2021/01/12 19:50:10	2021/01/12 19:50:10	HTTPS	443	4.1 and later	0 (trial&cracked)	1bf68e4491f06dbcb91b3ee04e5ed3a4	94.177.12.123,/activity	None
89.248.169.136	2020/12/30 05:03:27	2021/01/12 16:15:06	HTTPS	443	4.1 and later	0 (trial&cracked)	987dffdd2ba31dbfa111b28691d99614	89.248.169.136,/updates.rss	None
89.248.169.136	2020/12/31 14:48:32	2021/01/15 02:33:32	HTTP	80	4.1 and later	0 (trial&cracked)	987dffdd2ba31dbfa111b28691d99614	89.248.169.136,/activity	None
23.106.160.2	2020/09/05 05:45:46	2021/01/15 03:29:27	HTTPS	443	4.1 and later	0 (trial&cracked)	85162bc74dafc9a5aad23bf1065e2f43	bitsse.com,/us/ky/louisville/312-s-fourth-st.html,uncole.com,/us/ky/louisville/312-s-fourth-st.html	None
173.234.25.74	2020/11/20 03:22:00	2020/12/31 12:00:17	HTTPS	443	4.1 and later	0 (trial&cracked)	e9ae865f5ce035176457188409f6020a	162.223.31.160,/fwlink	None
31.44.184.73	2020/12/03 23:26:50	2021/01/15 00:32:01	HTTP	80	4.1 and later	0 (trial&cracked)	e9ae865f5ce035176457188409f6020a	31.44.184.73,/en_US/all.js	None
149.248.3.94	2021/01/02 01:44:03	2021/01/15 10:45:55	HTTP	80	4.1 and later	0 (trial&cracked)	991514f00e469c817cf2773328261045	3rh8rc.systemservices.network,/jquery-3.3.1.min.js,149.248.3.94,/jquery-3.3.1.min.js	None
207.148.92.158	2020/11/17 10:52:31	2021/01/21 06:47:56	HTTP	8080	4.1 and later	0 (trial&cracked)	4c4a81806a4ee3729143a396353b4874	207.148.92.158,/__utm.gif	None
35.241.81.15	2021/01/13 19:33:22	2021/01/13 19:33:22	HTTPS	443	4.1 and later	0 (trial&cracked)	bca0aa88dfdf478f644e7834ccb9f8f7	35.241.81.15,/_/scs/mail-static/_/js/	None
194.124.66.203	2020/12/16 08:58:35	2021/01/12 17:39:48	HTTPS	443	4.0	0 (trial&cracked)	f62245d1d492916b0fdaaf7a7776ec03	microsoftanalysis.cf,/dot.gif	microsoftanalysis.cf
192.111.144.210	2020/10/28 13:14:32	2021/01/13 21:00:17	HTTPS	443	4.1 and later	0 (trial&cracked)	f905408d0a199918045d63c9259a016e	repshd.com,/us/ky/louisville/312-s-fourth-st.html,pinglis.com,/us/ky/louisville/312-s-fourth-st.html,stargut.com,/us/ky/louisville/312-s-fourth-st.html	None
104.224.179.156	2020/11/04 14:49:42	2021/01/21 13:54:40	HTTP	8080	4.1 and later	0 (trial&cracked)	a12e0715bf081d7a1762880861704dd6	104.224.179.156,/zC	None
162.248.210.234	2020/10/29 01:45:50	2021/01/02 03:27:31	HTTPS	443	4.1 and later	0 (trial&cracked)	1e8e534d4904f3a0b1de5c9fecf6434f	wavetips.com,/us/ky/louisville/312-s-fourth-st.html	None
69.30.232.138	2020/07/30 02:48:55	2021/01/01 11:31:51	HTTP	80	4.1 and later	0 (trial&cracked)	e9ae865f5ce035176457188409f6020a	69.30.232.138,/dpixel	None
185.225.19.157	2020/12/18 10:05:26	2021/01/02 06:20:56	HTTP	80	4.1 and later	0 (trial&cracked)	e9ae865f5ce035176457188409f6020a	185.225.19.157,/pixel.gif	None
67.212.83.204	2020/12/17 13:01:15	2020/12/31 05:58:27	HTTPS	443	4.1 and later	0 (trial&cracked)	e9ae865f5ce035176457188409f6020a	67.212.83.204,/updates.rss	None
193.56.255.160	2020/12/17 09:10:31	2021/01/01 01:16:19	HTTPS	443	4.1 and later	0 (trial&cracked)	7a78653961e9543af616fabd87088f7c	dc-security.net,/jquery-3.3.1.min.js	None
47.56.209.70	2020/11/24 14:49:38	2021/01/15 10:13:18	HTTP	80	4.1 and later	0 (trial&cracked)	53a86a88b43460f1ec9e2e0f0fff55ca	47.56.209.70,/match	None
176.10.80.43	2021/01/13 16:34:41	2021/01/13 16:34:41	HTTP	80	4.1 and later	0 (trial&cracked)	e9ae865f5ce035176457188409f6020a	176.10.80.43,/fwlink	None
35.241.81.15	2021/01/13 23:26:29	2021/01/13 23:26:29	HTTP	80	4.1 and later	0 (trial&cracked)	bca0aa88dfdf478f644e7834ccb9f8f7	35.241.81.15,/_/scs/mail-static/_/js/	None
104.194.11.10	2020/12/17 03:21:54	2021/01/12 15:17:08	HTTP	80	4.1 and later	0 (trial&cracked)	6f7a5397bf0bc30fe78de27698a13931	simvp.com,/us/ky/louisville/312-s-fourth-st.html	None
104.225.154.51	2020/12/17 03:29:33	2021/01/01 09:31:43	HTTPS	443	4.1 and later	0 (trial&cracked)	aeeed805b3cb8ecc5c4e8023b9fc29e7	ntucloud.com,/activity	ntucloud.com
23.106.160.80	2021/01/01 02:46:50	2021/01/13 09:05:25	HTTPS	443	4.1 and later	0 (trial&cracked)	021703b7e572580e762d481410b90183	findcola.com,/us/ky/louisville/312-s-fourth-st.html,64.187.239.74,/us/ky/louisville/312-s-fourth-st.html,gemsurf.com,/us/ky/louisville/312-s-fourth-st.html	None
23.106.223.84	2020/11/23 12:57:29	2021/01/13 02:53:45	HTTP	80	4.1 and later	0 (trial&cracked)	ee25098bab763fc54d129a219b4ae3c3	23.106.223.84,/ca	None
68.183.180.196	2020/12/11 20:57:11	2021/01/20 20:18:33	DNS	53	4.1 and later	0 (trial&cracked)	d70701f72e8be120ff1ad7b83079d944	cloud.sogoucloudupdate.com,/dot.gif	None
173.234.25.75	2020/11/19 02:11:01	2021/01/15 11:48:29	HTTPS	443	4.1 and later	0 (trial&cracked)	e9ae865f5ce035176457188409f6020a	162.223.31.160,/visit.js	None
