c2_ip	first_seen	last_seen	protocol	port	version	watermark	pubkey_md5	domains	host_header
34.96.217.173	2020/07/30 23:59:12	2020/09/01 07:48:25	HTTP	80	4.0	305419896 (leaked)	548acb3e77fa76106bd92d633df187ac	34.96.217.173,/fwlink	None
139.180.206.14	2020/12/31 14:48:39	2021/01/12 19:22:47	HTTPS	443	4.0	305419896 (leaked)	f9ff2ab8bb036040ef9b807120b39e15	cn.wifi.com,/load	cert.wifi.com
45.76.210.100	2020/10/27 14:03:16	2021/01/15 05:24:55	HTTP	80	4.0	305419896 (leaked)	03f5b9f354cf73fdfcde1e6348636545	microsofts.network,/__utm.gif,http.microsoftsupdate.workers.dev,/__utm.gif	None
104.233.208.175	2020/07/31 18:32:05	2020/11/22 14:13:45	HTTP	80	4.0	305419896 (leaked)	2264957f4a031cb748b7897f20231d4d	hkservices.info,/jquery-3.3.1.min.js	code.jquery.com
103.147.13.153	2020/08/06 03:13:01	2020/08/06 03:13:01	HTTP	8080	4.0	305419896 (leaked)	defb5d95ce99e1ebbf421a1a38d9cb64	103.147.13.153,/updates.rss	None
18.166.70.114	2020/07/30 20:55:49	2020/09/23 01:06:03	HTTP	80	4.0	305419896 (leaked)	57e3170a6df83810d0c718c00e956bde	18.166.70.114,/updates.rss	None
45.91.93.75	2020/10/26 22:44:58	2020/10/26 22:44:58	HTTP	80	4.0	305419896 (leaked)	46a843dbd0d0c623b431233f5e2a8b89	d2d7h4betxjsme.cloudfront.net,/capt4avod.php,d17sjwtiowr7zy.cloudfront.net,/capt4avod.php	None
185.212.58.16	2020/12/30 13:53:40	2021/01/14 16:08:24	HTTP	80	4.0	305419896 (leaked)	b0d18bdab7bfca3e9cf3943bbd5ab2c0	185.212.58.16,/ca	None
2.56.213.230	2020/06/23 08:49:39	2020/06/23 08:49:39	HTTP	8080	4.0	305419896 (leaked)	8ac540617dddcdf575f6dc207abb7344	2.56.213.230,/pixel.gif	None
43.224.35.134	2020/08/05 12:56:44	2020/08/05 12:56:44	HTTP	8080	4.0	305419896 (leaked)	defb5d95ce99e1ebbf421a1a38d9cb64	43.224.35.134,/updates.rss	None
141.164.45.117	2020/10/26 07:20:38	2020/10/26 07:20:38	HTTP	80	4.0	305419896 (leaked)	ffe5cd7d97fe4dac5bc2a3dbe5f90d5b	141.164.45.117,/cx	None
108.160.136.182	2020/12/11 14:09:27	2021/01/20 11:54:04	DNS	53	4.0	305419896 (leaked)	870dff3840a1546d54af13dcda1e1a6e	web.symanteccdn.com,/_/scs/mail-static/_/js/,updates.twltte.com,/_/scs/mail-static/_/js/,images.twltte.com,/_/scs/mail-static/_/js/	None
195.88.209.87	2020/05/30 18:04:47	2020/08/02 08:38:48	HTTPS	443	4.0	305419896 (leaked)	09befb4e882b0ce05e184ee5af9a8b0b	billinggw.global.ssl.fastly.net,/dot.gif	None
193.34.166.124	2020/11/20 18:54:55	2021/01/13 07:30:30	HTTPS	443	4.0	305419896 (leaked)	08eedeb88f4b54513712a7131f4e5ccb	ntservicespack.com,/ptj	None
103.39.18.180	2020/12/04 20:31:22	2020/12/30 15:59:13	HTTPS	443	4.0	305419896 (leaked)	7fd66ff17714adbaa49d465c5d5eb646	156.226.191.234,/_/scs/mail-static/_/js/,djiqowenlsakdj.com,/_/scs/mail-static/_/js/	None
137.220.56.44	2020/11/04 23:41:55	2020/11/14 10:59:50	HTTP	80	4.0	305419896 (leaked)	defb5d95ce99e1ebbf421a1a38d9cb64	137.220.56.44,/match	None
103.234.72.32	2020/11/19 14:26:32	2020/11/19 14:26:32	HTTPS	443	4.0	305419896 (leaked)	c3a0ccd94c3844568efba056b714a2e3	103.234.72.32,/cx	None
188.119.149.108	2020/09/20 04:30:55	2020/09/20 04:30:55	DNS	53	4.0	305419896 (leaked)	bc3ecbc5573635232225f03fe52e1697	www.buncombesaxiss.com,/ga.js,auth.buncombesaxiss.com,/dot.gif,cdn.buncombesaxiss.com,/load	None
162.254.204.222	2020/06/30 09:50:53	2020/09/20 19:08:18	DNS	53	4.0	305419896 (leaked)	b5dac8692de3ce7a563fc9955374347c	freepics.officetoolskeeper.pro,/api	None
198.12.120.186	2020/12/03 20:39:16	2020/12/18 03:44:35	HTTP	80	4.0	305419896 (leaked)	3406ce83d0171d9aa58b1c02ba8398c9	198.12.120.186,/activity	None
34.92.244.122	2020/04/18 04:07:29	2020/04/18 04:07:29	HTTP	80	4.0	305419896 (leaked)	7040cc2b72982d6177dae53d0498aa58	live.onedrive.vip,/mobile-home	windows.com,163.com
45.91.93.77	2020/10/29 20:26:36	2020/11/19 17:53:05	HTTPS	443	4.0	305419896 (leaked)	46a843dbd0d0c623b431233f5e2a8b89	d1n9k9io1xd98n.cloudfront.net,/capt4avod.php,out.x3y3z3.xyz,/capt4avod.php,d17sjwtiowr7zy.cloudfront.net,/capt4avod.php	None
119.8.42.35	2020/09/26 18:08:14	2021/01/12 12:23:08	HTTPS	443	4.0	305419896 (leaked)	77d6ef0837b3c4c61405c330c1d56886	update1.jscachecdn.com,/s/ref=nb_sb_noss_1/264-84198498-9827145/field-keywords=woman	www.amazon.com
114.67.110.37	2020/10/25 04:28:19	2020/10/25 04:28:19	HTTP	80	4.0	305419896 (leaked)	44d9562628d8a0c27d7c436abb2ffd74	image91.360doc.com,/s,welcome.toutiao.com,/s	image.tencent.com
103.56.19.57	2020/11/21 09:58:31	2020/12/05 01:57:34	HTTPS	443	4.0	305419896 (leaked)	58f22035a3211f6220fb903f9fccd515	103.56.19.57,/updates	None
5.34.180.164	2020/10/17 19:46:57	2020/10/17 19:46:57	DNS	53	4.0	305419896 (leaked)	f9b0ccc4d74a47cf149464721c094041	www.alinebeheads.com,/push,auth.alinebeheads.com,/en_US/all.js,login.alinebeheads.com,/dpixel,downloads.alinebeheads.com,/fwlink,mail.alinebeheads.com,/dot.gif	None
