c2_ip	first_seen	last_seen	protocol	port
103.151.229.35	2021/12/11	2021/12/19	HTTP	443	Variant2
45.77.250.209	2021/11/09	2021/11/09	TCP	443	Variant1
164.155.51.9	2022/06/22	2022/06/22	HTTP	80	Variant3
167.179.78.160	2022/05/03	2022/08/27	TCP	443	Variant1
45.76.152.71	2022/06/14	2022/06/14	TCP	443	Variant1
103.56.19.113	2021/12/08	2021/12/08	HTTP	443	Variant3
213.59.118.124	2022/03/06	2022/08/10	TCP	443	Variant1
103.27.108.20	2022/03/07	2022/04/07	TCP	443	Variant1
149.127.176.12	2022/06/22	2022/06/22	HTTP	80	Variant3
149.127.176.12	2022/06/10	2022/06/10	HTTP	443	Variant3
45.77.252.157	2021/11/24	2021/11/24	TCP	443	Variant1
103.133.139.23	2021/11/06	2021/11/06	HTTP	443	Variant3
8.208.94.94	2021/12/10	2022/01/29	TCP	443	Variant1
149.28.151.244	2021/10/15	2021/10/15	UDP	53	Variant1
103.133.139.29	2021/12/06	2022/01/13	HTTP	443	Variant3
211.239.213.13	2022/07/27	2022/07/27	UDP	443	Variant1
137.220.53.224	2022/03/08	2022/05/03	TCP	443	Variant1
193.239.191.95	2021/09/25	2021/11/21	HTTP	443	Variant3
103.143.73.116	2022/02/01	2022/02/01	HTTP	443	Variant3
103.231.14.171	2021/10/28	2021/10/28	HTTP	443	Variant2
45.32.121.100	2022/08/27	2022/08/27	TCP	443	Variant1
152.32.133.68	2021/10/17	2022/01/29	TCP	443	Variant1
172.105.36.249	2021/11/06	2021/11/06	HTTP	443	Variant3
61.97.248.72	2021/09/28	2021/10/29	HTTP	443	Variant2
149.127.176.22	2022/07/05	2022/07/05	HTTP	443	Variant3
173.254.227.204	2022/06/12	2022/06/12	HTTP	443	Variant3
8.136.179.117	2021/10/30	2021/11/24	TCP	443	Variant1
92.38.135.71	2021/10/27	2021/11/07	HTTP	443	Variant2
188.116.48.62	2021/09/26	2021/09/26	HTTP	443	Variant3
167.179.78.160	2022/06/18	2022/06/18	UDP	53	Variant1
156.240.104.115	2021/10/17	2022/01/29	TCP	443	Variant1
154.38.118.107	2022/03/07	2022/04/07	TCP	443	Variant1
45.134.1.74	2021/09/27	2021/09/27	HTTP	443	Variant3
103.151.229.130	2021/12/20	2022/04/04	HTTP	443	Variant3
103.56.19.42	2021/11/08	2022/01/11	TCP	443	Variant1
167.71.236.226	2022/06/11	2022/06/11	HTTP	443	Variant3
103.138.82.202	2021/10/29	2021/12/23	TCP	443	Variant1
107.155.50.198	2021/12/06	2021/12/06	HTTP	443	Variant3
152.32.139.128	2022/03/04	2022/03/04	HTTP	443	Variant3
45.32.102.50	2022/05/04	2022/05/04	TCP	443	Variant1
43.129.188.223	2021/10/17	2022/08/11	TCP	443	Variant1
103.254.75.140	2021/12/06	2021/12/06	HTTP	443	Variant3
185.207.155.146	2022/01/04	2022/05/04	TCP	443	Variant1
103.27.109.182	2021/11/24	2022/01/06	TCP	443	Variant1
45.77.169.228	2022/01/10	2022/01/10	TCP	443	Variant1
85.9.26.104	2022/06/18	2022/06/18	UDP	53	Variant1
103.56.19.157	2021/11/21	2021/11/21	HTTP	443	Variant3
38.55.223.221	2022/08/10	2022/08/10	TCP	443	Variant1
137.220.55.36	2021/11/05	2021/11/05	HTTP	443	Variant3
156.240.107.248	2021/10/17	2021/10/30	TCP	443	Variant1
139.180.193.182	2022/07/07	2022/07/07	TCP	443	Variant1
116.204.134.123	2021/12/22	2022/03/07	TCP	443	Variant1
139.180.188.58	2022/08/28	2022/08/28	TCP	443	Variant1
95.85.67.48	2022/03/06	2022/03/06	HTTP	443	Variant3
45.137.10.3	2022/06/13	2022/07/07	TCP	443	Variant1
66.42.60.66	2022/05/03	2022/05/03	TCP	443	Variant1
103.120.82.243	2021/11/04	2021/11/04	HTTP	443	Variant3
156.240.104.149	2021/10/16	2021/10/16	TCP	443	Variant1
134.122.188.187	2022/06/14	2022/06/14	TCP	443	Variant1
163.197.32.39	2022/03/05	2022/03/05	HTTP	443	Variant3
14.18.191.150	2021/09/28	2022/08/13	HTTP	443	Variant2
137.220.185.203	2021/11/21	2022/08/12	HTTP	443	Variant2
103.93.76.135	2021/12/07	2022/01/30	HTTP	443	Variant3
5.181.4.59	2021/12/10	2022/01/28	TCP	443	Variant1
45.137.10.3	2022/06/13	2022/08/26	UDP	443	Variant1
120.79.8.23	2022/01/01	2022/01/15	HTTP	443	Variant2
103.209.233.172	2022/01/30	2022/01/30	HTTP	443	Variant3
103.138.82.215	2022/04/08	2022/07/08	TCP	443	Variant1
213.59.118.124	2022/03/06	2022/07/27	UDP	443	Variant1
163.197.34.109	2021/12/08	2021/12/08	HTTP	443	Variant3
103.151.229.74	2021/11/06	2021/11/06	HTTP	443	Variant2
45.32.248.92	2022/06/13	2022/06/13	TCP	443	Variant1
45.76.152.71	2022/06/18	2022/06/18	UDP	53	Variant1
134.122.134.140	2022/08/26	2022/08/26	UDP	443	Variant1
154.215.96.211	2021/11/22	2021/12/06	HTTP	443	Variant3
154.201.144.60	2021/12/06	2022/01/31	HTTP	443	Variant3
45.79.122.225	2022/06/24	2022/06/24	HTTP	80	Variant3

